method,param_name,param_value,recall_at_5,avg_latency_s,speedup_vs_exact,candidates_examined
HNSW,efSearch,16,0.7766111111111111,0.00013516108194986978,8.898160778964202,16
HNSW,efSearch,32,0.7766111111111111,0.0001631617546081543,7.371121015075131,32
HNSW,efSearch,64,0.7799444444444444,0.0002379568417867025,5.054214996376315,64
HNSW,efSearch,128,0.7799444444444444,0.00033377647399902345,3.6032648551863384,128
IVF,nprobe,1,0.5016111111111111,2.4465719858805337e-05,49.15796654214715,52
IVF,nprobe,5,0.7155,3.978411356608073e-05,30.230283659608467,259
IVF,nprobe,10,0.7355,6.392955780029297e-05,18.812660053206034,518
IVF,nprobe,20,0.7688333333333334,0.00011959075927734376,10.05667198298777,1037
